Row LabelsSum of Order Price,,,,,,,,,
"Grand Total1,199,708,905.01",,,,,,,,,
Row Labels,Sum of Order Price,,,,,,,,
Carnation Delux Events,88999.80,,,,,,,,
Ditsibi,99750.00,,,,,,,,
Esonam  Printers,484000.00,,,,,,,,
Ezasezantsi,152000.00,,,,,,,,
Grandwood Tourism and Trading,61900.00,,,,,,,,
IC Bane,259500.00,,,,,,,,
Jambisto,2570000.00,,,,,,,,
Life Employee Health Solutions,279809.26,,,,,,,,
Rietu,66250.00,,,,,,,,
Rurban Creative,173500.00,,,,,,,,
Siyolise Phawu,348381.00,,,,,,,,
T Birch and Company,209967.00,,,,,,,,
Vapi Group,164268.10,,,,,,,,
Zamaswazi,119000.00,,,,,,,,
DPW,2734214.23,,,,,,,,
CHINYERE ENTERPRISES,57504.50,,,,,,,,
Eujona Fashions,28920.40,,,,,,,,
GOAVECT,495650.00,,,,,,,,
JD Strategic Investments,201902.05,,,,,,,,
KUUHLE TRADING ENTERPRISE,114000.00,,,,,,,,
Lechoba Medical Technologies,207848.15,,,,,,,,
LINLOS INVESTMENTS R4,546043.98,,,,,,,,
MULTISURGE,27600.00,,,,,,,,
NGUTA-MABE SOLUTIONS,217848.00,,,,,,,,
Nodoli Trading,21951.00,,,,,,,,
